"LE GROUPE MASTER S.E.C.","922294","FISET, DANIEL","VCR - FACT.: 8467648-00 RÉFRIGÉRANT, DÉPÔT CYLINDRE BUDGET 108110 - P.PLOURDE C/M","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","10 035 $ "
"LE GROUPE MASTER S.E.C.","922266","FISET, DANIEL","VCR - FACT.:8467648-00 RÉFRIGÉRANT DÉPÔT CYLINDRE BUDGET 108110 - P.PLOURDE C/M","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 894 $ "
"LE GROUPE MASTER S.E.C.","922857","FISET, DANIEL","VCR - MACHINE À GLACE... - POUR HDV - PATRICK PLOURDE C/M","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 283 $ "
"LE GROUPE MASTER S.E.C.","921442","FISET, DANIEL","VCR - RÉFRIGÉRANT 22... - POUR DIVERS BÂTIMENTS - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 877 $ "
"LE GROUPE MASTER S.E.C.","919551","FISET, DANIEL","VCR - UNITÉ DE CLIMATISATION + PLÉNUM - POUR L'HDV - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 548 $ "
"LE GROUPE MASTER S.E.C.","922663","FISET, DANIEL","VCR - UNITÉ DE FENÊTRE - POUR HDV - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","13 912 $ "
"LE GROUPE MASTER S.E.C.","983757","THIFFAULT, YVAN","CHAUFFAGE (ACHAT D'ÉCHANGEURS DE CHALEUR POUR LES ATELIERS MUNICIPAUX VIAU #0246, LE GROUPE MASTER S.E.C.) - LYNCH, RENÉ","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","4 957 $ "
"LE GROUPE MASTER S.E.C.","984857","THIFFAULT, YVAN","VCR, BAT 481 ARÉNA BOUILLON, PEP 1700-50-1, REFRIGERANT, PLOURD DOMINIC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","8 789 $ "
"LE GROUPE MASTER S.E.C.","952138","FISET, DANIEL","LE GROUPE MASTER S.E.C.-  PROJET 90496 -   BAIN ÉMARD -  PATRICK PLOURDE C/M VCR","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","6 168 $ "
"LE GROUPE MASTER S.E.C.","949914","FISET, DANIEL","COMPRESSEUR POUR QG DE LA POLICE - PATRICK PLOURDE C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 778 $ "
"LE GROUPE MASTER S.E.C.","952386","THIFFAULT, YVAN","BAT 4397 ATELIER, OUTIL NETTOYEUR TUBE , PLOURDE DOMINIC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 168 $ "
"LE GROUPE MASTER S.E.C.","958858","THIFFAULT, YVAN","BÂTIMENT 104 CASERNE 47, REQ: 76-195060, COMP 182MBTU, PLOURDE, DOMINIC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 577 $ "
"LE GROUPE MASTER S.E.C.","958390","FISET, DANIEL","PIÈCES POUR COMPRESSEUR POUR LE QG DU SPVM - P.  PLOURDE C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 693 $ "
"LE GROUPE MASTER S.E.C.","964464","THIFFAULT, YVAN","CHAUFFAGE (TNC 92500, ACHAT D'ÉCHANGEURS POUR LES ATELIERS MUNICIPAUX VIAU #0246, LE GROUPE MASTER S.E.C.) - LYNCH, RENÉ","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","8 687 $ "
"LE GROUPE MASTER S.E.C.","977153","FISET, DANIEL","VCR - COMPRESSEUR POUR LA PETITE BOURGOGNE - P.  PLOURDE C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 872 $ "
"LE GROUPE MASTER S.E.C.","968082","FISET, DANIEL","VCR - RÉFRIGÉRANT POUR SHOP + CAMION - P.  PLOURDE C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 127 $ "
"LE GROUPE MASTER S.E.C.","968077","FISET, DANIEL","VCR - RÉFRIGÉRANT R22 POUR INVENTAIRE - P.  PLOURDE C/M","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 080 $ "
"LE GROUPE MASTER S.E.C.","965363","THIFFAULT, YVAN","VCR, AMÉNAGEMENT 1424670082, BAT 802 C.F.POMPIER, TOUR DE CONTROLE, PLOURDE DOMINIC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 080 $ "
"LE GROUPE MASTER S.E.C.","975907","FISET, DANIEL","VCR - AIR CLIMATISÉ POUR LE CHALET MT-ROYAL - P.  PLOURDE C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 421 $ "
"LE GROUPE MASTER S.E.C.","968079","FISET, DANIEL","VCR - RÉFRIGÉRANT R22 POUR CAMION VCR + ATELIER - P.  PLOURDE C/M","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 271 $ "
"LE GROUPE MASTER S.E.C.","968659","FISET, DANIEL","LE GROUPE MASTER S.E.C. -  AMÉNAGEMENT #1424672061 - AIR CLIMATISÉ -  PATRICK PLOURDE C/M","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 039 $ "
"LE GROUPE MASTER S.E.C.","846317600","DAOUST, LINDA","BC204018. ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 360 $ "
"LE GROUPE MECAPLUS INC","931802","MONDOU, JOSEE","VALVE DE BROUILLEUR D'EAU","SERVICE DE LA QUALITÉ DE VIE","GESTION INSTALL. - PISCINES, PLAGES ET PORTS DE PLAISANCE","3 111 $ "
"LE GROUPE QUADRISCAN","975028","SAVARD, JOHANNE","LE GROUPE QUADRISCAN - RÉIMPRESSION DU RAPPORT ANNUEL DE L'OMBUDSMAN EN PLUSIEURS COPIES EN FRANÇAIS ET EN ANGLAIS AVEC RÉVISION / FACTURES NOS. A60965 ET 161839","OMBUDSMAN DE MONTRÉAL","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","6 011 $ "
"LE GROUPE QUADRISCAN","974184","LANGLOIS, PAUL","TRAVAUX D'IMPRESSION D'AFFICHETTES ET CARTES POSTALES POUR LES CONCERTS CAMPBELL","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","2 168 $ "
"LE GROUPE QUADRISCAN","892310","SHOIRY, NANCY","CONTRAT DE SERVICES D'IMPRESSION DE 405 COPIES DU COMPTE-RENDU DU BILAN «MONTRÉAL VILLE UNESCO DE DESIGN EN ACTIONS ET EN CHIFFRE».  LA BROCHURE DE 44 PAGES SERA DE FORMAT 11"" X 8,5"" AVEC COUVERT ET RELIÉE AVEC UN WIRE-O MÉTALIQUE.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","3 037 $ "
"LE GROUPE QUADRISCAN","958897","SHOIRY, NANCY","R.C: 12-2.6.1-050 MOD /  SERVICES D'IMPRESION - CATALOGUE CODE SOUVENIR MONTRÉAL 2014-2015.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","8 166 $ "
"LE GROUPE S.M. INTERNATIONAL INC.","312979","GONZALEZ, ANA","BC 203400 - ENTRETIEN","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 000 $ "
"LE GROUPE SPORTS-INTER PLUS INC","902628","BERTRAND, RICHARD","ENS/3 BUTS,BASEBALL COMPLET EN CANEVAS,IDENTIFIE VILLE DE MONTREAL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","CULTURE, SPORT ET LOISIR","7 918 $ "
"LE GROUPE SPORTS-INTER PLUS INC","935737","BERTRAND, RICHARD","REAPRO MAGASIN ARTICLE DE SPORT","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","CULTURE, SPORT ET LOISIR","2 133 $ "
"LE MEG: MONTREAL ELECTRONIQUE GROOVE INC.","976612","BISSONNETTE, DANIEL","VISIBILITÉ TÉLÉVISUELLE À RADIO-CANADA À L'OCCASION DE LA PRÉSENTATION DE LA FINALE DE LA COUPE DU MONDE DE LA FIFA LE 13 JUILLET 2014","SERVICE DE LA CULTURE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","5 000 $ "
"LE MOULIN A MUSIQUE INC.","919373","CHARPENTIER, ANNE","101142 / CONTRAT DE SPECTACLE DANS LE CADRE DE LA PROGRAMMATION DE PAPILLONS EN LIBERTÉ 2014","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","6 300 $ "
"LE MOULIN A MUSIQUE INC.","919373","CHARPENTIER, ANNE","101142 / CONTRAT DE SPECTACLE DANS LE CADRE DE LA PROGRAMMATION DE PAPILLONS EN LIBERTÉ 2014 / PAIEMENT EN DEUX VERSEMENTS","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","6 300 $ "
"LE MUSEE DES MAITRES ET ARTISANS DU QUEBEC","932581","LANGLOIS, PAUL","
ACTIVITÉS DE MÉDIATION CULTURELLE, LIÉES AU CENTRE D'EXPOSITION LETHBRIDGE ","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","4 304 $ "
"LE POURVOYEUR INC.","981700","BISSONNETTE, DANIEL","LOCATION D'ÉQUIPEMENT ET SERVICE DE RESTAURATION À LA ZONE EXTÉRIEUR DU ZOOFEST 2014","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS RÉCRÉATIVES","7 726 $ "
"LE RELAIS CHEVROLET CADILLAC BUICK GMC LTEE","893960","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIEL ROULANT","2 301 $ "
"LE RESEAU DES SPORTS (RDS) INC.","982649","SPANDONIDE, CAROLINE","CAMPAGNE PUBLICITAIRE  POUR LA CARTE ACCÈS MONTRÉAL; RDS.CA WEBSITE; N0 DE REFERENCE NA-COV14052202","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","3 630 $ "
"LEARNORAMA","927289","CLAVEAU, MICHEL","ABONNEMENT À TOUTAPPRENDRE.COM","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","13 082 $ "
"LECHASSEUR AVOCATS LTEE","919636","GAGNIER, PHILIPPE","AVOCAT DOSSIER DIPALMA REPRÉSENTATION LABONTÉ","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AFFAIRES CIVILES","28 684 $ "
"LECHASSEUR AVOCATS LTEE","928807","BELPAIRE, VERONIQUE","REMBOURSEMENT FRAIS DE TÉMOIN DOSSIER 09-001339 09-001337 07-001959","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","3 508 $ "
"LECTRA CANADA INC.","960226","CHAURET, DANIELLE","LOGICIEL POUR AGENTES SPECIALISÉES (KALEDO)","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","18 143 $ "
"LECUYER & FILS LTEE","892082","LUU, VINH","ANNEAUX D'AJUSTEMENT","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","2 997 $ "
"LECUYER & FILS LTEE","900876","LUU, VINH","BASES DE LAMPADAIRE","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","4 796 $ "
"LECUYER & FILS LTEE","900876","LUU, VINH","BASES DE LAMPADAIRE","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","3 586 $ "
"LECUYER & FILS LTEE","347855-22","LABELLE, MARC-ANDRÉ","TPAE,A,PIÈCES EN FONTE POUR AQUEDUC ET ÉGOUT, TUBES EN CUIVRE ET TUYAUX ET RACCORDS EN PVC, INVENTAIRE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","AQUEDUC & EGOUT","17 314 $ "
"LECUYER & FILS LTEE","347855-20","LABELLE, MARC-ANDRÉ","PIÈCES EN FONTE POUR AQUEDUC ET ÉGOUT, TUBES EN CUIVRE ET TUYAUX ET RACCORDS EN PVC, INVENTAIRE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","TRAVAUX PUBLICS, AMÉNAGEMENT EXTÉRIEUR","18 134 $ "
"L'ÉDIFICE 2000 MCGILL COLLEGE","RMI0000986560001012170003","DÉTAILS PROVENANT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","L'ÉDIFICE 2000 MCGILL COLLEGE\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001557, SUR LA LISTE DE PAIEMENT 1406IC007 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","4 392 $ "
"LEDUC ELECTRIQUE LTEE.","907031","THIFFAULT, YVAN","VCR / MOTEUR NEUF TATUNG (VOIR SOUMISSION 1322364) / REQUÊTE 76-197117 / BÂTIMENT 0528 / ARENA RENÉ MASSON / DOMINIC PLOURDE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 035 $ "
"LEDUC ELECTRIQUE LTEE.","937450","FISET, DANIEL","CHAUFFAGE - POMPE POUR LA RÉGION OUEST - R.  LAMOUREUX C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 588 $ "
"LEDUC SECURITE","968115","LEVESQUE, PIERRE","INSTALLER ET PROGRAMMER LE NOUVEAU DVR, VÉRIFIER LA CAMÉRA #11 DU STATIONNEMENT DES EMPLOYÉS À LA PISCINE ST-ROCH","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 479 $ "
"LEE LAUREN NASTASI","RMI0000982680001008230003","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","LEE LAUREN NASTASI\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001207, SUR LA LISTE DE PAIEMENT 1404IC004 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","3 334 $ "
"LEGENDE DESPERADO INC.","940608","VINCENT, GILLES","BASSINS POUR JARDIN D'EAU","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","18 241 $ "
"LEGER","981629","LANGLOIS, PAUL","SONDAGE OMNIBUS SUR LE RÉSEAU ACCÈS CULTURE","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","3 526 $ "
"LEICA GEOSYSTEMES LTEE","900446","AYLWIN, CHANTAL","GPS HAUTE PERFORMANCE VIVA (BOUDRIAS, PASCAL)","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DÉPENSES INTERNES À IMPUTER AUX ACTIVITÉS D'INVESTISSEMENT - À REDISTRIBUER","17 885 $ "
"L'EMPREINTE IMPRIMERIE INC.","972908","ALLARD, PATRICE","IMPRESSION DE LA BROCHURE «DÉCOUVRIR ET VIVRE MONTRÉAL»","SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS","AUTRES - ACTIVITÉS CULTURELLES","12 959 $ "
"L'EMPREINTE IMPRIMERIE INC.","953689","LEFEBVRE, MARTIN","BROCHURES - DIVERSITÉ SOCIALE - BROCHURE DÉCOUVRIR ET VIVRE MONTRÉAL - PROJET 13480 - DEVIS 9718","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","13 897 $ "
"L'EMPREINTE IMPRIMERIE INC.","961005","GELINEAU, PIERRE","DÉPLIANTS - MHM: DÉPLIANTS PROPRÉTÉ - PROJET 14105 - DEVIS 10531","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","5 006 $ "
"L'EMPREINTE IMPRIMERIE INC.","969850","GELINEAU, PIERRE","ACCROCHE PORTE - VOTRE AVERTISSEUR DE FUMÉE, FONCTIONNE-T-IL? - PROJET 14337 - DEVIS 10838","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","6 052 $ "
"L'EMPREINTE IMPRIMERIE INC.","978034","GELINEAU, PIERRE","CARTES POSTALES - A-C ""DISTRIBUTION RÉPERTOIRES DANS LES PRÉSENTOIRES"" - PROJET 14438 - DEVIS 10982","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 696 $ "
"L'EMPREINTE IMPRIMERIE INC.","966815","GELINEAU, PIERRE","DÉPLIANTS - PROJET SAINTE-CATHEINE OUEST - PROJET 14327 - DEVIS 10828","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 577 $ "
"L'EMPREINTE IMPRIMERIE INC.","966818","GELINEAU, PIERRE","BROCHURES ET DÉPLIANTS - RESPECT ET CIVILITÉ - PROJET 14226 - DEVIS 10693, 10694","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 454 $ "
"L'EMPREINTE IMPRIMERIE INC.","962815","GELINEAU, PIERRE","DIVERS - BILAN: QUALITÉ DE L'EAU ET DE L'AIR - PROJET 14201 - DEVIS 10651","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 217 $ "
"L'EMPREINTE IMPRIMERIE INC.","980950","GELINEAU, PIERRE","PAPIER QUADRILLÉ 16.03.162-4 - MAGASIN PROJET 14491 - DEVIS 11036","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 076 $ "
"L'EMPREINTE IMPRIMERIE INC.","862088","SPANDONIDE, CAROLINE","PROJET GRA-000750-12639 - DEVIS 8727, 8729, 8730","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 511 $ "
"L'EMPREINTE IMPRIMERIE INC.","891529","GELINEAU, PIERRE","PROJET IMP-001333-13122 - DEVIS 9289","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","5 321 $ "
"L'EMPREINTE IMPRIMERIE INC.","899100","GELINEAU, PIERRE","PROJET IMP-001753-13194 - DEVIS 9370","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","5 326 $ "
"L'EMPREINTE IMPRIMERIE INC.","921027","GELINEAU, PIERRE","MONTRÉAL JOUE AFFICHE / DÉPLIANT - POUR LIVRAISON RÉFÉRER AU DEVIS 9820","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 613 $ "
"L'EMPREINTE IMPRIMERIE INC.","924650","GELINEAU, PIERRE","PROJET IMP002094-13535 - DEVIS 9796","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 361 $ "
"L'EMPREINTE IMPRIMERIE INC.","935027","GELINEAU, PIERRE","2E FESTIVAL DU JEU EN BIBLIOTHÈQUE - ","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 205 $ "
"L'EMPREINTE IMPRIMERIE INC.","933393","GELINEAU, PIERRE"," BUREAU DE POURSUITE - COUR MUNICIPALE - POCHETTE AVEC RABAT - ","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 836 $ "
"L'EMPREINTE IMPRIMERIE INC.","931822","GELINEAU, PIERRE"," PANCARTE, SIGNALISATION , DÉNEIGEMENT 7H À 19H - ","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 502 $ "
"L'EMPREINTE IMPRIMERIE INC.","936294","GELINEAU, PIERRE","PAPIER QUADRILLÉ - MAGASIN -","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 832 $ "
"L'ENSEMBLE DE GUITARES FORESTARE","140727","LALANDE, LUCIE","ARTISTES","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 500 $ "
"LES ACCESSOIRES DE THEATRE JOHNNY BROWN INC.","906456","KERR, NATASHA","PORTES ENSEIGNES","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","7 132 $ "
"LES ACCESSOIRES DE THEATRE JOHNNY BROWN INC.","911212","KERR, NATASHA","POTEAUX ET CHARIOT.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 122 $ "
"LES AGENCES BRUNET-GOULARD INC.","910471","THIFFAULT, YVAN","MENUISERIE / ARTICLES SERRURERIE (VOIR SOUMISSION 50035596-00) / ATELIER / DANIEL TRUDEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 448 $ "
"LES AGENCES BRUNET-GOULARD INC.","917270","THIFFAULT, YVAN","MENUISERIE / COUPE-FROID ET BALAIS (VOIR SOUMISSION 50036616-00) / ATELIER / DANIEL TRUDEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 275 $ "
"LES AGENCES BRUNET-GOULARD INC.","951384","THIFFAULT, YVAN","MENUISERIE (TNC 92481, ACHAT DE PIÈCES POUR LES PORTES EXTÉRIEURES DOUBLE ET SIMPLE AU CENTRE SPORTIF CLAUDE-ROBILLARD #0095, LES AGENCES BRUNET-GOULARD INC.) - TRUDEL, DANIEL","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","6 535 $ "
"LES AGENCES BRUNET-GOULARD INC.","951400","THIFFAULT, YVAN","MENUISERIE (TNC 92496, ACHAT DE CLÉS POUR REMPLACEMENT DES CLÉS AUX ATELIERS DE L'ENTREPÔT DU 3444 ST-JOSEPH #4397, LES AGENCES BRUNET-GOULARD INC.) - TRUDEL, DANIEL","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 185 $ "
"LES AMIS D'AHUNTSIC-CARTIERVILLE","972527","LANGLOIS, PAUL","MÉDIATION CULTURELLE 2014 - RÉALISATION DU PROJET EXPLORATION URBAINE (NOM DU PROJET CHANGÉ POUR SPÉCIAL KARL)","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","10 000 $ "
"LES AMIS DE FRONTENAC","901467","LANGLOIS, PAUL","PROJET ""CECI N'EST PAS UN ARTISTE... 2"" - ORGANISATION DE LA PRODUCTION DES CAPSULES VIDÉO","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","7 000 $ "
"LES AMIS DU JARDIN BOTANIQUE DE MONTREAL","894462","LANDRY, JOHANNE","PROGRAMME JEUNESSE CANADA AU TRAVAIL","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 146 $ "
"LES AMIS DU JARDIN BOTANIQUE DE MONTREAL","921399","LANDRY, JOHANNE","ACHAT DE MATÉRIEL DIDACTIQUE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 500 $ "
"LES ATELIERS D'ANTOINE","894972","BERTRAND, RICHARD","POSTE224","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ENVIRONNEMENT ET NATURE","5 111 $ "
"LES ATELIERS D'ANTOINE","959125","BERTRAND, RICHARD","ENS/COMPOSTEUR & SOCLE,MOD. BALCON,VOL. 8' CU.,LARG. 24"",HAUT. 24"",PROF.18.5""","SERVICE DE L'APPROVISIONNEMENT","ENVIRONNEMENT ET NATURE","5 912 $ "
